"ID"	"Authors"	"Title"	"Year"	"Source.title"	"Volume"	"Issue"	"clickable_doi"
"656186bc"	"Lempert, M."	"On 'flip-flopping': Branded stance-taking in U.S. electoral politics"	2009	"Journal of Sociolinguistics"	"13"	"2"	"http://doi.org/10.1111/j.1467-9841.2009.00405.x"
"aaa3a8dc"	"Li, Y., Flowerdew, J."	"International engagement versus local commitment: Hong Kong academics in the humanities and social sciences writing for publication"	2009	"Journal of English for Academic Purposes"	"8"	"4"	"http://doi.org/10.1016/j.jeap.2009.05.002"
"8879277f"	"Konijn, E.A., Van Der Molen, J.H.W., Van Nes, S."	"Emotions bias perceptions of realism in audiovisual media: Why we may take fiction for real"	2009	"Discourse Processes"	"46"	"4"	"http://doi.org/10.1080/01638530902728546"
"ce0c8fd5"	"Tromly, F.B."	"Sir Walter Ralegh instructs his son, twice"	2009	"Notes and Queries"	"56"	"4"	"http://doi.org/10.1093/notesj/gjp215"
"0142dfe2"	"Malkiel, B."	"What can grades teach us?"	2008	"Perspectives: Studies in Translatology"	"16"	"1-2"	"http://doi.org/10.1080/13670050802492980"
"8431aef2"	"Au, T.K.-f., Oh, J.S., Knightly, L.M., Jun, S.-A., Romo, L.F."	"Salvaging a childhood language"	2008	"Journal of Memory and Language"	"58"	"4"	"http://doi.org/10.1016/j.jml.2007.11.001"
"069cd51f"	"Watanabe, T."	"Interpretation at the Tokyo War Crimes Tribunal: An overview and Tojo's cross-examination"	2009	"TTR: Traduction, Terminologie et Redaction"	"22"	"1"	"http://doi.org/10.7202/044782ar"
"dca455cb"	"Lee, J.B., Kaye, R.C., Cherney, L.R."	"Conversational script performance in adults with non-fluent aphasia: Treatment intensity and aphasia severity"	2009	"Aphasiology"	"23"	"7-8"	"http://doi.org/10.1080/02687030802669534"
"b9076908"	"Yaeger, P."	"Editor's column: My name is blue - A map of ottoman Baghdad"	2008	"PMLA"	"123"	"1"	"http://doi.org/10.1632/pmla.2008.123.1.9"
"b671eff3"	"Reichl, K."	"Stefan Jurasinski, Ancient Privileges: ‘Beowulf’, Law, and the Making of Germanic Antiquity; John M. Hill, The Narrative Pulse of ‘Beowulf’: Arrivals and Departures"	2008	"Anglia"	"126"	"3"	"http://doi.org/10.1515/angl.2008.071"
"136ae5cc"	"Hyon, S."	"Convention and inventiveness in an occluded academic genre: A case study of retention-promotion-tenure reports"	2008	"English for Specific Purposes"	"27"	"2"	"http://doi.org/10.1016/j.esp.2007.07.003"
"8d667391"	"Bitchener, J., Knoch, U."	"The relative effectiveness of different types of direct written corrective feedback"	2009	"System"	"37"	"2"	"http://doi.org/10.1016/j.system.2008.12.006"
"bb407bba"	"Constanzo, E."	"Towards the development of a global communicative competence: The integration of oral and written skills in teaching and learning a foreign language"	2009	"Porta Linguarum"	""	"12"	"http://doi.org/"
"0088e975"	"Chen, L., Guo, J."	"Motion events in Chinese novels: Evidence for an equipollently-framed language"	2009	"Journal of Pragmatics"	"41"	"9"	"http://doi.org/10.1016/j.pragma.2008.10.015"
"3c787c67"	"Gunn, J., Frentz, T."	"The da Vinci Code as alchemical rhetoric"	2008	"Western Journal of Communication"	"72"	"3"	"http://doi.org/10.1080/10570310802210114"
"f2112343"	"Zhou, X.M., Ang, C.H., Ling, T.W."	"Indexing for multipoint interactive similarity retrieval in iconic spatial image databases"	2008	"Journal of Visual Languages and Computing"	"19"	"1"	"http://doi.org/10.1016/j.jvlc.2007.08.009"
"4f5126b3"	"Cama, E., Melchionda, S., Palladino, T., Carella, M., Santarelli, R., Genovese, E., Benettazzo, F., Zelante, L., Arslan, E."	"Hearing loss features in GJB2 biallelic mutations and GJB2/GJB6 digenic inheritance in a large Italian cohort"	2009	"International Journal of Audiology"	"48"	"1"	"http://doi.org/10.1080/14992020802400654"
"0b556118"	"Post, M."	"Adjectives in Thai: Implications for a functionalist typology of word classes"	2008	"Linguistic Typology"	"12"	"3"	"http://doi.org/10.1515/LITY.2008.041"
"c5f28913"	"Felser, C., Clahsen, H."	"Grammatical processing of spoken language in child and adult language learners"	2009	"Journal of Psycholinguistic Research"	"38"	"3"	"http://doi.org/10.1007/s10936-009-9104-8"
"338c4d1b"	"Wouk, F."	"The syntax of intonation units in Sasak"	2008	"Studies in Language"	"32"	"1"	"http://doi.org/10.1075/sl.32.1.06wou"
"8fd0b714"	"[No author name available]"	"Literary politics and the euripidean vita"	2008	"Cambridge Classical Journal"	NA	"54"	"http://doi.org/"
"bf820b8d"	"Blažek, V."	"On the position of Gaulish within Celtic from the point of view of glottochronology"	2009	"Indogermanische Forschungen"	"114"	""	"http://doi.org/"
"e2cbe62c"	"Mitterer, H., Ernestus, M."	"The link between speech perception and production is phonological and abstract: Evidence from the shadowing task"	2008	"Cognition"	"109"	"1"	"http://doi.org/10.1016/j.cognition.2008.08.002"
"1df216d1"	"Welch, E."	"Stars of CCTV: Technology, visibility and identity in the work of Sophie Calle and Annie Ernaux"	2009	"Nottingham French Studies"	"48"	"2"	"http://doi.org/10.3366/nfs.2009-2.007"
"8e223722"	"Van Der Sandt, R."	"When satisfaction is not enough. Comments on Schlenker's 'Be Articulate. A pragmatic theory of presupposition projection'"	2008	"Theoretical Linguistics"	"34"	"3"	"http://doi.org/10.1515/THLI.2008.020"
"144ab189"	"King, N."	"What will hatch? a constructivist autobiographical account of writing poetry"	2008	"Journal of Constructivist Psychology"	"21"	"4"	"http://doi.org/10.1080/10720530802255202"
"063392bf"	"[No author name available]"	"Sponsored by Cambridge University Press and promoted by Language Teaching"	2009	"Language Teaching"	"42"	"4"	"http://doi.org/10.1017/S0261444809990024"
"4ae11683"	"Mihelj, S., Bajt, V., Pankov, M."	"Television news, narrative conventions and national imagination"	2009	"Discourse and Communication"	"3"	"1"	"http://doi.org/10.1177/1750481308098764"
"6f9038cd"	"Hill, A.J., Theodoros, D., Russell, T., Ward, E."	"Using telerehabilitation to assess apraxia of speech in adults"	2009	"International Journal of Language and Communication Disorders"	"44"	"5"	"http://doi.org/10.1080/13682820802350537"
