"ID"	"Authors"	"Title"	"Year"	"Source.title"	"Volume"	"Issue"	"clickable_doi"
"f0941571"	"Timarová, Š., Ungoed-Thomas, H."	"Admission testing for interpreting courses"	2008	"Interpreter and Translator Trainer"	"2"	"1"	"http://doi.org/10.1080/1750399X.2008.10798765"
"a814e598"	"Olson, C.B., Land, R."	"Taking a reading/writing intervention for secondary English language learners on the road: Lessons learned from the pathway project"	2008	"Research in the Teaching of English"	"42"	"3"	"http://doi.org/"
"0dad9723"	"Guimarães, S.J.F., Do Patrocínio, Z.K.G., De Paula, H.B., Da Silva, H.B."	"A new dissimilarity measure for cut detection using bipartite graph matching"	2009	"International Journal of Semantic Computing"	"3"	"2"	"http://doi.org/10.1142/S1793351X09000707"
"5ad5c66f"	"Putman, S.M., Smith, L.L., Cassady, J.C."	"Promoting change through professional development: The place of teacher intentionality in reading instruction"	2009	"Literacy Research and Instruction"	"48"	"3"	"http://doi.org/10.1080/19388070802251988"
"b8a847ef"	"Taboada, M., Zabala, L.H."	"Deciding on units of analysis within Centering Theory"	2008	"Corpus Linguistics and Linguistic Theory"	"4"	"1"	"http://doi.org/10.1515/CLLT.2008.003"
"9dcdb318"	"Cho, J."	"Political Ads and citizen communication"	2008	"Communication Research"	"35"	"4"	"http://doi.org/10.1177/0093650208315976"
"91d30a77"	"Rijkhoff, J."	"On the (un)suitability of semantic categories"	2009	"Linguistic Typology"	"13"	"1"	"http://doi.org/10.1515/LITY.2009.005"
"92692e7e"	"Olson, G.A."	"Struggling over theory, struggling over identity"	2008	"JAC: A Journal of Composition Theory"	"28"	"3-4"	"http://doi.org/"
"af40ee2a"	"Kong, K.C.C."	"A filial son or a loving mother?. Evaluation as recontextualisation devices in property transaction reports"	2008	"Journal of Pragmatics"	"40"	"3"	"http://doi.org/10.1016/j.pragma.2007.02.004"
"282531c1"	"Michaud, A."	"Phonemic and tonal analysis of Yongning Na"	2008	"Cahiers de Linguistique d'Asie Orientale"	"37"	"2"	"http://doi.org/10.1163/1960602808X00064"
"5a3c7331"	"Pogorzelski, R.J."	"The \"Reassurance of fratricide\" in the Aeneid"	2009	"American Journal of Philology"	"130"	"2"	"http://doi.org/10.1353/ajp.0.0049"
"469488a3"	"McAllister, T., Bachrach, A., Waters, G., Michaud, J., Caplan, D."	"Production and comprehension of unaccusatives in aphasia"	2009	"Aphasiology"	"23"	"7-8"	"http://doi.org/10.1080/02687030802669518"
"6c539ea5"	"Rubdy, R."	"Reclaiming the local in teaching EIL"	2009	"Language and Intercultural Communication"	"9"	"3"	"http://doi.org/10.1080/14708470902748822"
"80f08e2d"	"Haegeman, L., Van De Velde, D."	"Pleonastic tet in the lapscheure dialect"	2008	"Catalan Journal of Linguistics"	"7"	""	"http://doi.org/10.5565/rev/catjl.136"
"d84a91d5"	"Beniston, J."	"'Der wiener aus hofmannsthal': The making of Max Mell's Das Apostelspiel"	2009	"Modern Language Review"	"104"	"2"	"http://doi.org/"
"db291bb4"	"Vlach, H.A., Sandhofer, C.M., Kornell, N."	"The spacing effect in children's memory and category induction"	2008	"Cognition"	"109"	"1"	"http://doi.org/10.1016/j.cognition.2008.07.013"
"eb8d1a37"	"Yu, L.-C., Wu, C.-H., Jang, F.-L."	"Psychiatric document retrieval using a discourse-aware model"	2009	"Artificial Intelligence"	"173"	"7-8"	"http://doi.org/10.1016/j.artint.2008.12.004"
"ca6e6100"	"Collins, P."	"Modals and quasi-modals in world Englishes"	2009	"World Englishes"	"28"	"3"	"http://doi.org/10.1111/j.1467-971X.2009.01593.x"
"29cd14b7"	"Marcus, A."	"We are you: The plural and the dual in \"we\" fictional narratives"	2008	"Journal of Literary Semantics"	"37"	"1"	"http://doi.org/10.1515/jlse.2008.001"
"7c2ff8b7"	"Lee, J.B., Kaye, R.C., Cherney, L.R."	"Conversational script performance in adults with non-fluent aphasia: Treatment intensity and aphasia severity"	2009	"Aphasiology"	"23"	"7-8"	"http://doi.org/10.1080/02687030802669534"
"00bf8678"	"Boggs, C.G."	"Emily Dickinson's animal pedagogies"	2009	"PMLA"	"124"	"2"	"http://doi.org/10.1632/pmla.2009.124.2.533"
